,size,Group,Verse text
L 1:33,1,Evangelia,a království jeho nebude konce.“
L 1:38,1,Evangelia,"I řekla Maria: Aj, děvka Páně, staniž mi se podlé slova tvého. I odšel od ní anděl."
Mk 8:34,1,Evangelia,"A svolav zástup s učedlníky svými, řekl jim: Chce-li kdo za mnou přijíti, zapři sebe sám, a vezmi kříž svůj, a následúj mne."
J 14:27,1,Evangelia,"Pokoj svůj zůstavuji vám, pokoj svůj dávám vám; ne jako svět dává, já vám dávám. Nermutiž se srdce vaše, aniž se strachuj."
L 18:33,1,Evangelia,"a když jej zbičují, zabijí ho; ale třetího dne vstane z mrtvých."
L 2:10,1,Evangelia,"I řekl jim anděl: „Nebojte se, neboť hle, zvěstují vám radost velikou, která bude všemu lidu."
Mt 10:32,1,Evangelia,"Kdožkoli tedy vyzná mne před lidmi, vyznámť i já jej před Otcem svým, kterýž jest v nebesích."
Mt 10:33,1,Evangelia,"Kdož by pak mne zapřel před lidmi, zapřímť ho i já před Otcem svým, kterýž jest v nebesích."
Mt 23:9,1,Evangelia,"A otce nenazývejte sobě na zemi; nebo jeden jest Otec váš, kterýž jest v nebesích."
L 20:25,1,Evangelia,"I řekl jim: „Dávejte tedy, co je císařovo, císaři, a co jest Božího, Bohu.“"
Mk 13:31/Mt 24:35/L 21:33,1,Evangelia,Nebe a země pominou: ale slova má nepominou.
Mt 20:16,1,Evangelia,"Tak budou poslední prvními a první posledními; neboť mnoho jest povolaných, ale málo vyvolených.“"
Gn 1:2,1,Starý zákon,"Země však byla pustá a prázdná, tma byla nad hlubinou, a duch Boží vznášel se nad vodami."
Zd 1:1,1,Nový zákon,"Proti Šimonovi Čarodějníkovi, a proti jiným kacířům, kteří Anjely příliš vyvyšovali, dokazuje S. Pavel, že Kristus Pán jest Bůh, a proto že jest o mnoho vyšší, nežli Mojžíš, a Proroci, i všickni Anjelé"
L 6:27,1,Evangelia,"Ale vám-ť pravím kteříž slyšíte: Milůjte nepřátely své, dobře čiňte těm kteříž vás nenávidí."
L 2:34,1,Evangelia,"A Simeon blahoslavil je a řekl k Marii, matce jeho: „Hle tento jest ustanoven ku pádu a ku povstání mnohých v Israeli a na znamení, jemuž budou odpírati,"
Mt 6:26,1,Evangelia,"Pohleďte na ptactvo nebeské že neseje, ani nežne, ani neshromažďuje do stodol, a Otec váš nebeský živí je. Nejste-li vy dražší nežli ono?"
J 6:51,1,Evangelia,"Já jsem chléb živý, jenž s nebe sestoupil."
L 22:31,1,Evangelia,"I řekl Pán: „Šimone, Šimone, hle, satan vyžádal si vás, aby vás tříbil jako pšenici,"
Mt 16:16,1,Evangelia,"Odpovídaje Šimon Petr, řekl: Ty jsi Kristus Syn Boha živého."
Z 117:26,1,Starý zákon,"Požehnán buď, jenž přichází ve jménu Páně, žehnáme vám z Hospodinova domu."
L 15:7,1,Evangelia,"Pravím vám, že tak bude větší radost v nebesích nad jedním hříšníkem pokání činícím, než nad devadesáti devíti spravedlivými, kteří pokání nepotřebují.“"
1K 2:9,1,Nový zákon,"Ale jakož psáno jest: Čehož oko nevídalo, ani ucho neslýchalo, ani na srdce lidské nevstoupilo, co připravil Bůh těm, kteříž jej milují:"
Mt 19:18,1,Evangelia,"Dí jemu: Kterých? Ježíš pak řekl: Nezabiješ, nezcizoložíš, nepokradeš, nepromluvíš křivého svědectví."
R 11:33,1,Nový zákon,"Ó hlubokosti bohatství i moudrosti i umění Božího! Jak jsou nezpytatelní soudové jeho, a nevystižitelné cesty jeho."
1K 13:11,1,Nový zákon,"Dokud jsem byl dítětem, mluvil jsem jako dítě, smýšlel jsem jako dítě, usuzoval jsem jako dítě; když jsem se stal mužem, překonal jsem dětský stupeň. "
Z 118:24,1,Starý zákon,"Tentoť jest den, kterýž učinil Hospodin, a protož radujme se a veselme se v něm."
L 7:14,1,Evangelia,"A přistoupil, a dotekl se már. (Ti pak kteříž nesli, zastavili se) A řekl: Mládenče, tobě-ť pravím vstaň."
Mt 14:3,1,Evangelia,"Herodes totiž jal Jana a spoutav jej dal ho do žaláře pro Herodiadu, manželku bratra svého;"
L 5:11,1,Evangelia,"A přirazivše (lodi) k zemi, opustili všecko a šli za ním."
Z 110:10,1,Starý zákon,Svaté jest a hrozné jeho jméno; počátek moudrosti je bázeň Páně.
Mt 22:16,1,Evangelia,"I poslali k němu učedlníky své s Herodiány, řkouce: Mistře, víme, že pravdomluvný jsi, a cestě Boží v pravdě učíš, a nedbáš na žádného; nebo nepatříš na osobu lidskou."
Iz 45:8,1,Starý zákon,"Rosu dejte nebesa s hůry, a nejvyšší oblakové dštěte spravedlnost; otevři se země, a ať vzejde spasení, a spravedlnost ať spolu vykvete. Já Hospodin způsobím to."
Mt 18:17,1,Evangelia,"Pakliť by jich neuposlechl, pověz církvi. Jestliže pak i církve neuposlechne, budiž tobě jako pohan a publikán."
Mt 25:21,1,Evangelia,"Řekl mu Pán jeho: To dobře, služebníče dobrý a věrný: že si nad málem byl věrný, nad mnohem tebe ustanovím: vejdiž v radost Pána svého."
Mt 25:23,1,Evangelia,"Řekl mu Pán jeho: To dobře, služebníče dobrý a věrný: že si nad málem byl věrný, nad mnohem tebe ustanovím; vejdiž v radost Pána svého."
